date,city,prectot,t2m,rh2m
2008-01-01,barcelona,0.0,8.01,65.51
2008-01-02,barcelona,2.1,8.65,70.18
2008-01-03,barcelona,13.26,9.28,91.32
2008-01-04,barcelona,1.24,8.97,85.6
2008-01-05,barcelona,1.01,10.08,83.02
2008-01-06,barcelona,0.0,12.41,81.25
2008-01-07,barcelona,0.0,12.39,83.51
2008-01-08,barcelona,0.0,11.48,84.11
2008-01-09,barcelona,0.04,11.99,90.44
2008-01-10,barcelona,0.25,11.61,92.02
2008-01-11,barcelona,2.5,11.83,91.15
2008-01-12,barcelona,0.01,8.92,67.43
2008-01-13,barcelona,0.0,9.56,70.55
2008-01-14,barcelona,0.1,9.9,86.3
2008-01-15,barcelona,0.02,10.18,77.54
2008-01-16,barcelona,0.61,9.83,79.48
2008-01-17,barcelona,0.11,9.62,72.65
2008-01-18,barcelona,0.05,11.88,82.36
2008-01-19,barcelona,0.0,11.93,85.94
2008-01-20,barcelona,0.0,10.72,84.9
2008-01-21,barcelona,0.0,10.5,74.17
2008-01-22,barcelona,0.0,11.76,68.94
2008-01-23,barcelona,0.0,11.43,70.26
2008-01-24,barcelona,0.0,10.72,73.94
2008-01-25,barcelona,0.0,11.49,76.01
2008-01-26,barcelona,0.0,10.3,66.52
2008-01-27,barcelona,0.0,11.37,58.93
2008-01-28,barcelona,0.0,12.42,56.08
2008-01-29,barcelona,0.0,10.53,68.83
2008-01-30,barcelona,0.13,8.75,81.85
2008-01-31,barcelona,0.05,9.71,76.85
2008-02-01,barcelona,0.31,8.63,71.7
2008-02-02,barcelona,0.3,8.89,71.83
2008-02-03,barcelona,8.95,9.88,87.18
2008-02-04,barcelona,6.21,11.18,75.03
2008-02-05,barcelona,0.0,10.7,72.15
2008-02-06,barcelona,0.0,11.23,71.08
2008-02-07,barcelona,0.0,12.39,66.21
2008-02-08,barcelona,0.0,10.55,79.4
2008-02-09,barcelona,0.0,10.15,78.31
2008-02-10,barcelona,0.0,10.55,68.85
2008-02-11,barcelona,0.0,9.69,73.58
2008-02-12,barcelona,0.02,9.1,74.83
2008-02-13,barcelona,0.05,9.74,74.49
2008-02-14,barcelona,0.29,10.24,77.54
2008-02-15,barcelona,0.01,9.45,79.78
2008-02-16,barcelona,0.0,9.81,72.93
2008-02-17,barcelona,0.01,9.71,79.4
2008-02-18,barcelona,1.97,9.63,81.25
2008-02-19,barcelona,3.28,10.76,88.89
2008-02-20,barcelona,2.41,11.02,89.84
2008-02-21,barcelona,0.03,11.28,83.15
2008-02-22,barcelona,0.03,12.76,77.89
2008-02-23,barcelona,0.0,12.53,82.42
2008-02-24,barcelona,0.15,11.83,88.13
2008-02-25,barcelona,3.03,12.71,91.73
2008-02-26,barcelona,0.08,12.9,87.08
2008-02-27,barcelona,0.01,12.69,89.25
2008-02-28,barcelona,0.12,12.51,88.32
2008-02-29,barcelona,0.14,13.46,84.76
2008-03-01,barcelona,0.0,13.42,75.28
2008-03-02,barcelona,0.0,13.93,70.95
2008-03-03,barcelona,1.06,13.4,77.24
2008-03-04,barcelona,1.13,10.72,64.19
2008-03-05,barcelona,0.06,7.02,47.38
2008-03-06,barcelona,0.01,7.42,47.53
2008-03-07,barcelona,0.64,9.13,58.36
2008-03-08,barcelona,0.0,9.92,71.68
2008-03-09,barcelona,7.17,11.35,81.49
2008-03-10,barcelona,0.21,10.24,76.24
2008-03-11,barcelona,0.05,12.8,72.24
2008-03-12,barcelona,0.01,13.55,74.74
2008-03-13,barcelona,0.0,12.31,86.91
2008-03-14,barcelona,0.0,13.32,80.73
2008-03-15,barcelona,0.0,12.73,86.0
2008-03-16,barcelona,0.0,12.98,71.46
2008-03-17,barcelona,0.01,11.86,80.27
2008-03-18,barcelona,0.33,11.44,79.4
